pk_permissionid,permission,permission_code,description
169,system.internalmemo.delete,system.internalmemo.delete,Allow user to delete internal memo
170,system.internalmemo.files,system.internalmemo.files,Allow user to manage files
171,system.wastes.view,system.wastes.view,Allow users to view wastes
172,system.waste.view,system.waste.view,Allow user to view waste
173,system.waste.add,system.waste.add,Allow user to request waste management
174,system.waste.manage,system.waste.manage,Allow user to manage waste management request
175,system.waste.delete,system.waste.delete,Allow user to manage waste management requests
176,system.waste.files,system.waste.files,Allow user to manage waste
177,system.loantype.view,system.loantype.view,Allow users to view loan types
178,system.loantype.add,system.loantype.add,Allow users to add loan type
179,system.loantype.manage,system.loantype.manage,Allow users to manage loan type
180,system.loantype.delete,system.loantype.delete,Allow users to delete loan type
181,module.humanresource.view,module.humanresource.view,Allow users to view human resources module
182,module.IT.view,module.IT.view,Allow users to view IT module
183,module.finance.view,module.finance.view,Allow users to view finance module
184,module.marketingandcommunication.view,module.marketingandcommunication.view,Allow users to view marketing and communication module
185,module.systemadministration.view,module.systemadministration.view,Allow users to access administration module
186,module.procurement.view,module.procurement.view,Allow users to view procurement module
187,system.stationery.view,system.stationery.view,Allow users to view stationery
188,system.stationery.add,system.stationery.add,Allow users to add stationery
189,system.stationery.manage,system.stationery.manage,Allow users to manage stationery
190,system.stationery.delete,system.stationery.delete,Allow users to delete stationery
191,system.inductionactivities.view,system.inductionactivities.view,system.inductionactivities.view
192,system.inductionactivities.add,system.inductionactivities.add,system.inductionactivities.add
193,system.inductionactivities.manage,system.inductionactivities.manage,system.inductionactivities.manage
194,system.inductionactivities.delete,system.inductionactivities.delete,system.inductionactivities.delete
195,system.approvedallowance.add,system.approvedallowance.add,system.approvedallowance.add
